frame_id,face_x,face_y,face_w,face_h,eye_x,eye_y,eye_w,eye_h,mouth_x,mouth_y,mouth_w,mouth_h
1,833,151,620,620,362,286,46,46,377,149,104,52
2,848,151,626,626,160,196,93,93,384,154,104,52
3,852,160,626,626,365,279,46,46,,,,
4,854,149,629,629,142,200,96,96,372,157,104,52
5,851,163,611,611,280,173,22,22,358,142,104,52
6,839,149,620,620,42,184,39,39,207,487,177,88
7,849,163,607,607,561,215,23,23,358,147,104,52
8,823,159,643,643,371,291,37,37,382,151,104,52
9,804,152,649,649,206,314,24,24,390,167,104,52
10,804,175,631,631,534,242,22,22,,,,
11,797,179,626,626,158,202,88,88,371,155,104,52
12,793,184,631,631,152,211,94,94,,,,
13,806,216,590,590,143,198,76,76,145,139,104,52
14,777,200,643,643,255,350,83,83,271,483,104,52
15,793,213,615,615,224,220,49,49,221,450,177,88
16,803,225,593,593,64,194,22,22,213,444,177,88
17,789,222,609,609,75,194,25,25,222,449,177,88
18,786,223,607,607,203,276,28,28,221,447,177,88
19,779,219,615,615,161,205,80,80,229,452,177,88
20,783,227,605,605,198,266,41,41,219,439,177,88
21,790,222,609,609,251,334,69,69,220,445,177,88
22,783,220,611,611,200,275,32,32,259,457,104,52
23,786,214,607,607,225,214,52,52,,,,
24,782,212,612,612,198,285,32,32,258,467,104,52
25,781,212,619,619,146,208,91,91,,,,
26,791,216,601,601,205,211,55,55,,,,
27,776,211,622,622,536,227,24,24,224,450,177,88
28,797,223,593,593,130,180,93,93,145,414,301,150
29,803,208,583,583,204,224,40,40,201,458,177,88
30,776,178,619,619,48,130,49,49,353,154,104,52
31,748,168,660,660,254,257,32,32,,,,
32,762,182,635,635,365,285,46,46,177,444,301,150
33,774,188,624,624,146,208,91,91,223,467,177,88
34,776,190,629,629,530,196,43,43,166,427,301,150
35,773,189,619,619,225,221,54,54,168,439,301,150
36,759,191,643,643,173,220,76,76,173,158,104,52
37,777,218,609,609,195,279,26,26,255,449,104,52
